fraud_id,transaction_id,fraud_type,risk_score,detected_date,investigation_status
1,296596,Identity Theft,89,2024-10-23,Closed
2,17750,Identity Theft,85,2025-06-23,Resolved
3,3167,Account Takeover,92,2025-06-20,Open
4,381804,High Value Withdrawal,67,2026-02-20,Open
5,427030,Fake Merchant,76,2024-11-14,Open
6,333158,Suspicious Transfer,81,2025-12-31,Under Investigation
7,471116,Money Laundering,73,2025-05-03,Under Investigation
8,178800,Identity Theft,72,2026-01-21,Resolved
9,23483,Duplicate Transaction,100,2025-03-30,Closed
10,166657,Suspicious Transfer,85,2025-06-03,Closed
11,430683,High Value Withdrawal,77,2025-07-30,Closed
12,173141,Identity Theft,100,2026-03-15,Open
13,423437,Identity Theft,60,2024-09-25,Closed
14,232742,Identity Theft,96,2025-08-19,Under Investigation
15,51920,Suspicious Transfer,70,2024-10-04,Open
16,158348,Suspicious Transfer,88,2024-09-02,Closed
17,443843,Identity Theft,99,2026-01-25,Open
18,464000,International Fraud,75,2025-06-21,Resolved
19,364315,International Fraud,81,2025-01-22,Resolved
20,420073,High Value Withdrawal,83,2024-08-08,Closed
21,297532,Account Takeover,63,2025-11-25,Open
22,151486,Money Laundering,87,2026-06-26,Resolved
23,407629,Suspicious Transfer,87,2025-11-16,Closed
24,286134,International Fraud,76,2024-12-07,Under Investigation
25,131841,Card Skimming,97,2025-03-19,Resolved
26,88225,Identity Theft,63,2024-12-27,Resolved
27,2687,Phishing,63,2025-02-27,Under Investigation
28,462854,Money Laundering,93,2026-04-14,Under Investigation
29,405686,International Fraud,82,2026-02-18,Resolved
30,262017,Fake Merchant,60,2024-12-07,Open
31,249058,Fake Merchant,72,2024-11-17,Open
32,198208,International Fraud,73,2024-10-19,Open
33,102284,Account Takeover,66,2024-11-25,Closed
34,141344,Identity Theft,99,2026-05-26,Closed
35,451006,High Value Withdrawal,62,2025-03-28,Closed
36,235944,Identity Theft,63,2025-04-15,Closed
37,173105,Card Skimming,72,2025-10-31,Under Investigation
38,484328,Identity Theft,66,2025-05-16,Open
39,424631,Identity Theft,73,2026-04-11,Open
40,185907,Phishing,76,2024-12-12,Open
41,6954,Account Takeover,62,2025-05-11,Closed
42,136054,Fake Merchant,88,2025-06-25,Resolved
43,145947,Fake Merchant,93,2025-09-06,Under Investigation
44,440922,International Fraud,97,2025-02-01,Resolved
45,143781,Account Takeover,69,2026-06-01,Under Investigation
46,179715,Account Takeover,64,2026-03-09,Resolved
47,395465,Account Takeover,76,2026-03-29,Open
48,332051,Suspicious Transfer,74,2025-04-19,Open
49,56396,Account Takeover,77,2024-11-03,Open
50,371011,Money Laundering,79,2026-04-28,Open
51,178377,Card Skimming,95,2025-11-17,Resolved
52,171475,Suspicious Transfer,85,2025-11-09,Open
53,204216,Phishing,74,2024-10-06,Resolved
54,382384,Card Skimming,65,2024-11-19,Resolved
55,128476,Duplicate Transaction,88,2024-07-06,Open
56,153389,Identity Theft,65,2025-10-13,Open
57,300216,International Fraud,82,2025-05-05,Under Investigation
58,12157,Identity Theft,60,2024-10-24,Open
59,335873,Duplicate Transaction,92,2026-02-22,Closed
60,167632,Identity Theft,84,2026-04-24,Closed
61,2285,Fake Merchant,72,2025-09-14,Under Investigation
62,174502,Identity Theft,98,2024-11-05,Resolved
63,159976,Phishing,100,2024-11-28,Closed
64,43404,Identity Theft,87,2024-11-08,Open
65,164622,Money Laundering,68,2026-04-16,Open
66,239529,International Fraud,99,2024-07-22,Under Investigation
67,421159,Card Skimming,85,2026-06-11,Closed
68,120968,Account Takeover,82,2025-12-01,Open
69,126958,Phishing,62,2025-01-02,Closed
70,78558,Account Takeover,61,2025-06-15,Under Investigation
71,160633,Fake Merchant,66,2026-03-14,Open
72,77092,Money Laundering,100,2025-11-09,Open
73,63387,High Value Withdrawal,96,2026-06-18,Under Investigation
74,217809,Identity Theft,95,2026-06-02,Under Investigation
75,214519,Identity Theft,82,2025-04-29,Closed
76,432098,Phishing,91,2024-10-08,Resolved
77,241616,Phishing,90,2025-10-29,Resolved
78,218889,Suspicious Transfer,82,2025-09-05,Under Investigation
79,100052,Card Skimming,60,2026-02-09,Under Investigation
80,136924,High Value Withdrawal,67,2024-08-11,Open
81,171790,Identity Theft,90,2025-10-18,Open
82,345979,Fake Merchant,82,2025-01-09,Closed
83,309138,Suspicious Transfer,91,2026-01-10,Open
84,76068,High Value Withdrawal,97,2025-10-25,Resolved
85,181331,Card Skimming,98,2026-02-23,Open
86,9337,Identity Theft,62,2026-06-23,Under Investigation
87,153879,Fake Merchant,60,2025-07-30,Open
88,6977,Suspicious Transfer,83,2026-01-07,Resolved
89,177549,Phishing,100,2025-02-12,Resolved
90,226136,Phishing,79,2025-12-19,Resolved
91,439009,Fake Merchant,99,2025-10-03,Under Investigation
92,346574,Duplicate Transaction,65,2025-03-22,Under Investigation
93,309538,Duplicate Transaction,98,2025-08-16,Under Investigation
94,247772,Suspicious Transfer,87,2025-12-13,Open
95,345747,Phishing,80,2025-03-25,Under Investigation
96,221799,Duplicate Transaction,77,2025-08-27,Under Investigation
97,448545,Phishing,88,2026-04-26,Open
98,464757,Suspicious Transfer,93,2025-04-09,Under Investigation
99,180477,Fake Merchant,98,2025-07-12,Open
100,98643,High Value Withdrawal,88,2025-05-10,Resolved
101,477499,Card Skimming,65,2026-02-13,Closed
102,149638,Card Skimming,87,2024-08-19,Closed
103,391750,Identity Theft,72,2026-03-26,Closed
104,322568,Identity Theft,73,2024-09-18,Resolved
105,288632,Money Laundering,73,2026-05-24,Resolved
106,165144,Account Takeover,85,2025-02-19,Resolved
107,75743,Duplicate Transaction,61,2025-11-20,Resolved
108,276471,Suspicious Transfer,93,2025-06-04,Under Investigation
109,92351,Card Skimming,86,2025-01-14,Open
110,133489,Duplicate Transaction,67,2025-01-04,Under Investigation
111,182572,International Fraud,90,2026-04-21,Resolved
112,197209,Suspicious Transfer,93,2026-04-03,Under Investigation
113,39526,Account Takeover,61,2026-06-08,Closed
114,356364,Duplicate Transaction,62,2026-01-02,Resolved
115,464362,Fake Merchant,98,2026-01-08,Open
116,279983,Phishing,82,2025-06-06,Open
117,124939,Money Laundering,97,2026-02-17,Closed
118,429454,International Fraud,99,2026-05-22,Resolved
119,441694,High Value Withdrawal,85,2025-08-04,Resolved
120,351912,Duplicate Transaction,70,2026-03-16,Under Investigation
121,482178,Identity Theft,81,2025-07-20,Closed
122,346548,Account Takeover,99,2026-06-02,Closed
123,107040,Suspicious Transfer,91,2025-09-27,Open
124,140286,High Value Withdrawal,73,2025-01-15,Under Investigation
125,239744,Phishing,75,2024-10-24,Open
126,212644,Card Skimming,99,2024-08-16,Resolved
127,420602,Fake Merchant,74,2025-12-09,Resolved
128,453379,Account Takeover,62,2025-09-29,Resolved
129,93340,Fake Merchant,82,2026-05-02,Resolved
130,65788,Phishing,92,2025-03-12,Resolved
131,294652,International Fraud,70,2024-11-06,Resolved
132,81067,Money Laundering,74,2024-08-13,Closed
133,114767,Account Takeover,62,2026-02-07,Open
134,437227,Money Laundering,65,2025-01-31,Open
135,360589,Money Laundering,100,2026-01-01,Closed
136,135133,Fake Merchant,94,2025-12-24,Resolved
137,221876,High Value Withdrawal,62,2024-10-03,Closed
138,121729,Money Laundering,71,2026-01-10,Open
139,121384,Phishing,91,2024-08-10,Under Investigation
140,224456,High Value Withdrawal,65,2026-03-01,Resolved
141,105381,International Fraud,69,2025-10-07,Closed
142,428776,High Value Withdrawal,62,2026-05-21,Closed
143,129871,Duplicate Transaction,86,2024-12-19,Under Investigation
144,302433,International Fraud,87,2026-05-21,Under Investigation
145,252812,International Fraud,65,2025-02-27,Closed
146,342573,Duplicate Transaction,60,2025-08-13,Resolved
147,68260,Account Takeover,60,2025-10-27,Closed
148,127221,International Fraud,78,2024-12-17,Under Investigation
149,174739,Fake Merchant,91,2025-11-19,Under Investigation
150,337521,Fake Merchant,69,2026-03-18,Under Investigation
151,199138,Money Laundering,84,2026-02-03,Open
152,288795,Card Skimming,85,2026-01-17,Open
153,275026,International Fraud,75,2025-09-16,Under Investigation
154,412309,Suspicious Transfer,90,2025-04-05,Under Investigation
