customer_id,loan_type_id,loan_amount,interest_rate,tenure_months,emi_amount,loan_start_date,loan_end_date,default_flag
3,2,3904806,15.57,180,21693.37,2018-12-24,2033-10-06,False
6,5,3686582,14.2,240,15360.76,2024-04-26,2044-01-12,False
8,2,2259696,12.93,12,188308.0,2024-03-28,2025-03-23,False
5,3,1760181,8.27,36,48893.92,2019-06-22,2022-06-06,False
7,5,1818603,15.6,120,15155.02,2023-03-10,2033-01-16,False
7,5,1395715,8.63,24,58154.79,2022-06-14,2024-06-03,False
10,1,1413485,8.5,48,29447.6,2023-11-16,2027-10-26,False
4,5,3809711,8.14,120,31747.59,2025-02-14,2034-12-24,False
1,5,2122748,13.97,360,5896.52,2018-05-16,2047-12-10,False
10,5,2891349,13.14,240,12047.29,2025-07-26,2045-04-12,False
6,1,4106427,13.85,120,34220.22,2018-07-25,2028-06-02,False
7,4,2168399,14.63,48,45174.98,2017-11-12,2021-10-22,False
9,1,4189626,9.29,360,11637.85,2024-04-04,2053-10-29,False
6,1,1431642,13.78,12,119303.5,2020-12-24,2021-12-19,False
10,2,1888335,11.72,60,31472.25,2017-04-25,2022-03-30,False
10,1,3046614,11.1,84,36269.21,2019-12-24,2026-11-17,False
9,4,1048961,8.88,360,2913.78,2022-03-16,2051-10-10,False
2,4,3410555,12.57,36,94737.64,2020-05-29,2023-05-14,False
1,4,3784892,7.44,36,105135.89,2021-10-06,2024-09-20,False
1,1,1711967,8.42,48,35665.98,2019-12-20,2023-11-29,False
2,4,1081882,7.6,60,18031.37,2019-07-15,2024-06-18,True
7,4,4027253,10.09,180,22373.63,2018-11-24,2033-09-06,False
10,2,4913185,10.76,60,81886.42,2019-09-16,2024-08-20,False
2,1,2306427,14.64,120,19220.22,2022-05-28,2032-04-05,False
1,3,3326105,7.03,60,55435.08,2022-10-18,2027-09-22,True
1,1,4734338,9.09,60,78905.63,2023-06-21,2028-05-25,False
4,5,2549636,14.68,12,212469.67,2020-02-02,2021-01-27,False
8,1,332691,15.14,36,9241.42,2023-05-11,2026-04-25,True
10,1,3006694,8.29,240,12527.89,2024-05-06,2044-01-22,False
