merchant_name,merchant_category,city,state
Cafe Coffee Day 1,Cafe,Bhopal,Madhya Pradesh
Barista 2,Cafe,Surat,Gujarat
Water Supply 3,Utilities,Patna,Bihar
Apollo Hospital 4,Hospital,Kochi,Kerala
Domino's 5,Restaurant,Bhopal,Madhya Pradesh
Apollo Pharmacy 6,Pharmacy,Chennai,Tamil Nadu
Croma 7,Electronics,Lucknow,Uttar Pradesh
HP Petrol Pump 8,Fuel,Pune,Maharashtra
Bharat Petroleum 9,Fuel,Nagpur,Maharashtra
INOX 10,Entertainment,Chennai,Tamil Nadu
Ajio 11,Shopping,Kochi,Kerala
MedPlus 12,Pharmacy,Ahmedabad,Gujarat
BookMyShow 13,Entertainment,Hyderabad,Telangana
Starbucks 14,Cafe,Kanpur,Uttar Pradesh
Flipkart 15,Shopping,Chandigarh,Punjab
Starbucks 16,Cafe,Ahmedabad,Gujarat
Reliance Fresh 17,Supermarket,Bhopal,Madhya Pradesh
INOX 18,Entertainment,Pune,Maharashtra
IRCTC 19,Travel,Kanpur,Uttar Pradesh
Bharat Petroleum 20,Fuel,Chandigarh,Punjab
Vijay Sales 21,Electronics,Indore,Madhya Pradesh
Max Hospital 22,Hospital,Noida,Uttar Pradesh
Amazon 23,Shopping,Hyderabad,Telangana
Wellness Forever 24,Pharmacy,Patna,Bihar
Apollo Pharmacy 25,Pharmacy,Patna,Bihar
Medanta 26,Hospital,Chandigarh,Punjab
Apollo Pharmacy 27,Pharmacy,Delhi,Delhi
BookMyShow 28,Entertainment,Indore,Madhya Pradesh
Starbucks 29,Cafe,Jaipur,Rajasthan
Gas Agency 30,Utilities,Hyderabad,Telangana
Electricity Board 31,Utilities,Kanpur,Uttar Pradesh
Bharat Petroleum 32,Fuel,Gurgaon,Haryana
MakeMyTrip 33,Travel,Chandigarh,Punjab
Reliance Digital 34,Electronics,Bhopal,Madhya Pradesh
D-Mart 35,Supermarket,Noida,Uttar Pradesh
Indian Oil 36,Fuel,Kanpur,Uttar Pradesh
Indian Oil 37,Fuel,Surat,Gujarat
Electricity Board 38,Utilities,Surat,Gujarat
BookMyShow 39,Entertainment,Pune,Maharashtra
Goibibo 40,Travel,Kochi,Kerala
More 41,Supermarket,Ahmedabad,Gujarat
More 42,Supermarket,Delhi,Delhi
HP Petrol Pump 43,Fuel,Ahmedabad,Gujarat
Domino's 44,Restaurant,Pune,Maharashtra
Indian Oil 45,Fuel,Hyderabad,Telangana
Apollo Pharmacy 46,Pharmacy,Surat,Gujarat
Spencer's 47,Supermarket,Patna,Bihar
Westside 48,Fashion,Indore,Madhya Pradesh
Water Supply 49,Utilities,Gurgaon,Haryana
Bharat Petroleum 50,Fuel,Patna,Bihar
Starbucks 51,Cafe,Patna,Bihar
Burger King 52,Restaurant,Jaipur,Rajasthan
Myntra 53,Shopping,Hyderabad,Telangana
HP Petrol Pump 54,Fuel,Delhi,Delhi
Myntra 55,Shopping,Mumbai,Maharashtra
MedPlus 56,Pharmacy,Delhi,Delhi
Spencer's 57,Supermarket,Lucknow,Uttar Pradesh
Shell 58,Fuel,Mumbai,Maharashtra
PVR 59,Entertainment,Kolkata,West Bengal
Wellness Forever 60,Pharmacy,Mumbai,Maharashtra
Burger King 61,Restaurant,Nagpur,Maharashtra
Vijay Sales 62,Electronics,Bhopal,Madhya Pradesh
Reliance Fresh 63,Supermarket,Bengaluru,Karnataka
Spencer's 64,Supermarket,Nagpur,Maharashtra
Fortis 65,Hospital,Ahmedabad,Gujarat
Electricity Board 66,Utilities,Mumbai,Maharashtra
Water Supply 67,Utilities,Gurgaon,Haryana
Flipkart 68,Shopping,Surat,Gujarat
Ajio 69,Shopping,Chennai,Tamil Nadu
HP Petrol Pump 70,Fuel,Kanpur,Uttar Pradesh
Yatra 71,Travel,Bengaluru,Karnataka
INOX 72,Entertainment,Pune,Maharashtra
Meesho 73,Shopping,Chandigarh,Punjab
Apollo Hospital 74,Hospital,Lucknow,Uttar Pradesh
Starbucks 75,Cafe,Chandigarh,Punjab
MakeMyTrip 76,Travel,Delhi,Delhi
Ajio 77,Shopping,Patna,Bihar
Water Supply 78,Utilities,Bengaluru,Karnataka
Domino's 79,Restaurant,Bhopal,Madhya Pradesh
Amazon 80,Shopping,Chandigarh,Punjab
Cafe Coffee Day 81,Cafe,Hyderabad,Telangana
Electricity Board 82,Utilities,Lucknow,Uttar Pradesh
BookMyShow 83,Entertainment,Hyderabad,Telangana
Fortis 84,Hospital,Pune,Maharashtra
Fortis 85,Hospital,Ahmedabad,Gujarat
Vijay Sales 86,Electronics,Chandigarh,Punjab
Amazon 87,Shopping,Noida,Uttar Pradesh
Croma 88,Electronics,Noida,Uttar Pradesh
Apollo Pharmacy 89,Pharmacy,Nagpur,Maharashtra
Indian Oil 90,Fuel,Mumbai,Maharashtra
Indian Oil 91,Fuel,Kochi,Kerala
Pizza Hut 92,Restaurant,Noida,Uttar Pradesh
PVR 93,Entertainment,Noida,Uttar Pradesh
Vijay Sales 94,Electronics,Noida,Uttar Pradesh
Shell 95,Fuel,Delhi,Delhi
